Profit,Date
-159.14297194642796,2021-08-31 00:00:00
472.65462668089106,2021-09-01 00:00:00
-162.27808849377257,2021-09-02 00:00:00
-160.65530760883485,2021-09-02 20:00:00
477.1462635982395,2021-09-06 00:00:00
-163.8202171687289,2021-09-07 00:00:00
486.54604499112486,2021-09-08 00:00:00
-167.04747544695286,2021-09-09 00:00:00
-165.3770006924833,2021-09-09 08:00:00
-163.7232306855585,2021-09-10 00:00:00
-162.0859983787029,2021-09-10 20:00:00
-160.46513839491587,2021-09-13 20:00:00
-158.8604870109667,2021-09-16 00:00:00
-157.27188214085703,2021-09-16 08:00:00
-155.69916331944847,2021-09-17 00:00:00
462.42651505876194,2021-09-20 00:00:00
-158.76643683684162,2021-09-21 00:00:00
471.53631740541954,2021-09-21 20:00:00
-161.89413564252737,2021-09-24 00:00:00
-160.2751942861021,2021-09-24 08:00:00
476.01732702972333,2021-09-27 00:00:00
-163.43261561353833,2021-09-28 00:00:00
-161.79828945740294,2021-09-28 20:00:00
-160.18030656282892,2021-09-29 20:00:00
-158.57850349720064,2021-10-01 00:00:00
-156.99271846222862,2021-10-04 00:00:00
466.268373832819,2021-10-05 00:00:00
-160.08547501593455,2021-10-06 00:00:00
-158.4846202657752,2021-10-07 00:00:00
-156.89977406311743,2021-10-08 00:00:00
465.9923289674589,2021-10-11 00:00:00
-159.99069961216085,2021-10-12 20:00:00
-158.39079261603925,2021-10-14 20:00:00
-156.80688468987887,2021-10-22 00:00:00
-155.23881584298007,2021-10-25 08:00:00
-153.68642768455024,2021-10-26 00:00:00
-152.1495634077048,2021-10-28 08:00:00
-150.62806777362772,2021-11-04 00:00:00
-149.12178709589145,2021-11-05 00:00:00
442.89170767479754,2021-11-05 12:00:00
-152.0594863016805,2021-11-08 08:00:00
-150.53889143866368,2021-11-08 20:00:00
-149.03350252427703,2021-11-11 00:00:00
-147.54316749903427,2021-11-12 00:00:00
-146.06773582404392,2021-11-12 08:00:00
-144.60705846580348,2021-11-15 00:00:00
429.48296364343634,2021-11-17 00:00:00
442.36745255273945,2021-11-17 16:00:00
-151.8794920431072,2021-11-19 00:00:00
451.0820913680284,2021-11-19 08:00:00
-154.87151803635643,2021-11-22 00:00:00
-153.32280285599288,2021-11-23 00:00:00
-151.78957482743294,2021-11-24 16:00:00
-150.27167907915862,2021-11-25 16:00:00
-148.76896228836702,2021-11-30 00:00:00
-147.28127266548336,2021-11-30 12:00:00
-145.80845993882852,2021-12-06 08:00:00
-144.35037533944023,2021-12-09 00:00:00
428.72061475813746,2021-12-09 08:00:00
441.58223320088166,2021-12-10 08:00:00
-151.60990006563603,2021-12-13 20:00:00
-150.0938010649797,2021-12-15 00:00:00
445.77858916298965,2021-12-17 20:00:00
-153.05064894595978,2021-12-28 00:00:00
-151.5201424565002,2021-12-28 16:00:00
-150.00494103193518,2021-12-30 00:00:00
-148.50489162161583,2021-12-30 20:00:00
-100.0,2022-01-04 00:00:00
-98.99999999999999,2022-01-05 00:00:00
-98.01,2022-01-05 08:00:00
-97.0299,2022-01-05 20:00:00
-96.059601,2022-01-07 00:00:00
-95.09900499,2022-01-10 00:00:00
-94.1480149401,2022-01-10 08:00:00
279.61960437209706,2022-01-11 00:00:00
-96.00273083441998,2022-01-13 00:00:00
-95.04270352607578,2022-01-17 08:00:00
-94.09227649081502,2022-01-18 12:00:00
-93.15135372590687,2022-01-25 04:00:00
276.65952056594335,2022-01-26 04:00:00
-94.98643539430724,2022-01-27 08:00:00
-94.03657104036417,2022-01-28 00:00:00
-93.09620532996053,2022-01-31 00:00:00
-92.16524327666092,2022-02-02 00:00:00
-91.24359084389431,2022-02-04 20:00:00
270.99346480636603,2022-02-07 08:00:00
-93.04108958351902,2022-02-09 04:00:00
-92.11067868768383,2022-02-09 12:00:00
-91.18957190080698,2022-02-10 00:00:00
-90.27767618179892,2022-02-11 00:00:00
-89.37489941998093,2022-02-14 00:00:00
-88.48115042578112,2022-02-15 00:00:00
-87.59633892152331,2022-02-16 00:00:00
-86.72037553230808,2022-02-17 04:00:00
257.55951533095504,2022-02-18 00:00:00
265.2863007908837,2022-02-21 08:00:00
-91.08162993820339,2022-02-23 00:00:00
270.5124409164641,2022-02-24 00:00:00
278.62781414395795,2022-02-24 16:00:00
286.9866485682767,2022-03-01 00:00:00
295.596248025325,2022-03-02 00:00:00
-101.48804515536158,2022-03-03 20:00:00
-100.47316470380797,2022-03-08 00:00:00
-99.46843305676988,2022-03-09 00:00:00
-98.47374872620217,2022-03-10 00:00:00
292.4670337168204,2022-03-14 08:00:00
-100.41368157610836,2022-03-15 08:00:00
298.2286342810418,2022-03-17 00:00:00
-102.3918311031577,2022-03-18 00:00:00
-101.36791279212612,2022-03-22 16:00:00
301.06270099261457,2022-03-29 00:00:00
-103.364860674131,2022-03-31 00:00:00
306.99363620216906,2022-04-01 00:00:00
-105.40114842941138,2022-04-04 00:00:00
313.04141083535177,2022-04-05 00:00:00
-107.47755105347076,2022-04-06 00:00:00
-106.40277554293607,2022-04-07 00:00:00
-105.3387477875067,2022-04-07 08:00:00
312.8560809288949,2022-04-11 00:00:00
-107.4139211189206,2022-04-11 08:00:00
319.01934572319414,2022-04-11 20:00:00
-109.52997536496332,2022-04-13 00:00:00
-108.4346756113137,2022-04-14 00:00:00
322.05098656560165,2022-04-18 00:00:00
-110.57083872085659,2022-04-18 12:00:00
-109.46513033364802,2022-04-20 00:00:00
-108.37047903031153,2022-04-21 00:00:00
321.86032272002524,2022-04-22 00:00:00
331.516132401626,2022-04-22 16:00:00
-113.82053879122493,2022-04-26 00:00:00
-112.68233340331268,2022-04-27 00:00:00
334.66653020783866,2022-04-28 00:00:00
-114.90217537135794,2022-04-29 00:00:00
-113.75315361764434,2022-05-02 00:00:00
-112.6156220814679,2022-05-03 00:00:00
-111.48946586065323,2022-05-05 00:00:00
-110.37457120204668,2022-05-09 00:00:00
327.81247647007865,2022-05-09 08:00:00
-112.548950254727,2022-05-11 00:00:00
-111.42346075217975,2022-05-12 00:00:00
330.9276784339738,2022-05-12 12:00:00
-113.6185029289977,2022-05-16 00:00:00
-112.48231789970772,2022-05-17 00:00:00
-111.35749472071063,2022-05-17 08:00:00
-110.24391977350353,2022-05-18 00:00:00
-109.1414805757685,2022-05-19 00:00:00
-108.05006577001082,2022-05-19 08:00:00
-106.9695651123107,2022-05-20 00:00:00
-105.89986946118759,2022-05-20 08:00:00
314.52261229972714,2022-05-24 00:00:00
-107.98609688957299,2022-05-25 00:00:00
320.7187077620317,2022-05-30 00:00:00
330.34026899489265,2022-05-30 08:00:00
-113.41682568824649,2022-06-01 00:00:00
-112.28265743136403,2022-06-06 00:00:00
-111.15983085705038,2022-06-06 08:00:00
-110.04823254847989,2022-06-06 20:00:00
-108.9477502229951,2022-06-08 00:00:00
-107.85827272076514,2022-06-09 00:00:00
-106.7796899935575,2022-06-09 12:00:00
317.13567928086576,2022-06-13 00:00:00
-108.88324988643058,2022-06-14 00:00:00
-107.79441738756627,2022-06-14 12:00:00
-106.7164732136906,2022-06-15 00:00:00
-105.6493084815537,2022-06-16 00:00:00
-104.59281539673817,2022-06-17 00:00:00
-103.5468872427708,2022-06-20 00:00:00
-102.51141837034311,2022-06-20 08:00:00
-101.48630418663967,2022-06-21 08:00:00
301.41432343431984,2022-06-22 00:00:00
-103.48558437911646,2022-06-22 12:00:00
-102.45072853532531,2022-06-24 00:00:00
-101.42622124997206,2022-06-27 00:00:00
301.23587711241703,2022-06-28 00:00:00
310.2729534257895,2022-06-29 00:00:00
-106.52704734285439,2022-06-29 08:00:00
316.3853306082775,2022-06-30 08:00:00
-108.62563017550863,2022-07-04 00:00:00
-107.53937387375356,2022-07-05 00:00:00
319.39194040504805,2022-07-06 00:00:00
-109.65789953906649,2022-07-06 12:00:00
-108.56132054367585,2022-07-11 00:00:00
322.42712201471716,2022-07-12 00:00:00
-110.69997855838625,2022-07-13 12:00:00
-109.59297877280237,2022-07-14 00:00:00
-108.49704898507434,2022-07-15 00:00:00
-107.4120784952236,2022-07-15 20:00:00
-106.33795771027137,2022-07-18 12:00:00
315.823734399506,2022-07-22 00:00:00
-108.4328154771637,2022-07-25 00:00:00
-107.34848732239209,2022-07-26 00:00:00
-106.27500244916818,2022-07-26 08:00:00
-105.21225242467648,2022-07-27 00:00:00
312.4803897012891,2022-07-28 00:00:00
-107.2849337974426,2022-07-29 00:00:00
-106.21208445946819,2022-08-02 00:00:00
